timestamp,plate,score,dscore,file,box,model_make,color,vehicle,region,orientation,candidates,source_url,position_sec,direction
2023-07-06 06:41:30.800072+00:00,l0p8878,0.9,0.769,/camera-1_screenshots/23-07-06/03-41-30.800072.jpg,"{'xmin': 620, 'ymin': 404, 'xmax': 666, 'ymax': 430}",,,"{'score': 0.378, 'type': 'Big Truck', 'box': {'xmin': 480, 'ymin': 223, 'xmax': 765, 'ymax': 484}}","{'code': 'es', 'score': 0.2}",,"[{'score': 0.9, 'plate': 'l0p8878'}, {'score': 0.898, 'plate': 'lop8878'}, {'score': 0.784, 'plate': 'l0pb878'}, {'score': 0.782, 'plate': 'lopb878'}, {'score': 0.778, 'plate': 'l0p8b78'}, {'score': 0.777, 'plate': 'lop8b78'}, {'score': 0.776, 'plate': 'l0p887b'}, {'score': 0.775, 'plate': 'lop887b'}, {'score': 0.662, 'plate': 'l0pbb78'}, {'score': 0.661, 'plate': 'lopbb78'}]",/user-data/Corolla Karachi - Why Karachi Number Cars are Cheaper- - PakWheels_2.mp4,76.64,
2023-07-06 10:56:46.491335+00:00,ber727,0.898,0.866,/camera-1_screenshots/23-07-06/04-49-46.491335.jpg,"{'xmin': 900, 'ymin': 469, 'xmax': 986, 'ymax': 503}",,,"{'score': 0.535, 'type': 'Sedan', 'box': {'xmin': 864, 'ymin': 249, 'xmax': 1210, 'ymax': 514}}","{'code': 'co', 'score': 0.247}",,"[{'score': 0.898, 'plate': 'ber727'}, {'score': 0.757, 'plate': '8er727'}]",/user-data/Corolla Karachi - Why Karachi Number Cars are Cheaper- - PakWheels_2.mp4,331.76,
